[05:49:17:483]  PCM Hammer 021
[05:55:52:976]  TX: STPX H:8CFEF0, R:0, D:3F
[05:55:52:987]  Empty response to STPX with data. OK.
[05:55:52:988]  Setting timeout for ReadProperty, 25 ms.
[05:55:52:989]  TX: STPTO 25
[05:55:52:997]  OK
[05:55:52:999]  This interface does not support VPW 4x
[05:55:53:008]  Sending 'test device present' notification.
[05:55:53:008]  Setting timeout for Minimum, 0 ms.
[05:55:53:013]  TX: STPTO 0
[05:55:53:021]  OK
[05:55:53:022]  TX: STPX H:8CFEF0, R:0, D:3F
[05:55:53:036]  Empty response to STPX with data. OK.
[05:55:53:037]  Setting timeout for ReadProperty, 25 ms.
[05:55:53:038]  TX: STPTO 25
[05:55:53:045]  OK
[05:55:53:065]  Loaded C:\Users\Ozzy\Desktop\UniversalPatcher-master\UniversalPatcher-master\UniversalPatcher-Full\PCMHammer\Kernel-P01.bin
[05:55:53:066]  Sending 'test device present' notification.
[05:55:53:067]  Setting timeout for Minimum, 0 ms.
[05:55:53:067]  TX: STPTO 0
[05:55:53:097]  OK
[05:55:53:098]  TX: STPX H:8CFEF0, R:0, D:3F
[05:55:53:109]  Empty response to STPX with data. OK.
[05:55:53:110]  Setting timeout for ReadProperty, 25 ms.
[05:55:53:111]  TX: STPTO 25
[05:55:53:117]  OK
[05:55:53:120]  Sending upload request for kernel size 7890, loadaddress FF8000
[05:55:53:120]  TX: STPX H:6C10F0, R:1, D:34001000FF8000
[05:55:53:170]  RX: 6C F0 10 74 00 44
[05:55:53:172]  Going to load a 7890 byte kernel to 0xFF8000
[05:55:53:173]  Setting timeout for SendKernel, 50 ms.
[05:55:53:175]  TX: STPTO 50
[05:55:53:182]  OK
[05:55:53:182]  Sending end block payload with offset 0x1C00, start address 0xFF9C00, length 0x2D2.
[05:55:53:185]  Sending 'test device present' notification.
[05:55:53:186]  Setting timeout for Minimum, 0 ms.
[05:55:53:186]  TX: STPTO 0
[05:55:53:194]  OK
[05:55:53:195]  TX: STPX H:8CFEF0, R:0, D:3F
[05:55:53:208]  Empty response to STPX with data. OK.
[05:55:53:208]  Setting timeout for SendKernel, 50 ms.
[05:55:53:209]  TX: STPTO 50
[05:55:53:216]  OK
[05:55:53:297]  TX: STPX H:6D10F0, R:1, L:731
[05:55:53:372]  TX: 360002D2FF9C0030BC5555203C00000AAA204030BC9090428020403F50000A700220403F5000084280302F000A2200484142414280302F0008240184802F4200044280204030BCFFFF203C00FFFA4E204030BC1060202F0004241F508F4E75518F518F426F000E2F6F00140006203C00FFFA4E204030BC7060203C00000AAA204030BCAAAA203C00000554204030BC5555203C00000AAA204030BC8080203C00000AAA204030BCAAAA203C00000554204030BC5555202F0006204030BC3030426F0004426F000242AF000A6058202F0006204030103200024100403F4100044EB900FF8BDC202F0006204030103200024100403F410002302F0002B06F00046602602C202F0006204030103200024100203E814A57660652AF000A60083F7C00A0000E600A0CAF0127FFFF000A6F9E0C6F00A0000E663A202F0006204030103200024100403F410004202F0006204030103200024100403F410002302F0002B06F000467083F7C00B0000E6004426F000E202F0006204030BCF0F0202F0006204030BCF0F0203C00FFFA4E204030BC1060302F000E1000508F508F4E754FEFFFE0422F00152F6F002C00102F6F0028000C42AF001C600000E6202F001CD080222F000CD2802F410008202F001CD080D0AF001020403F5000064AAF0030663A203C00FFFA4E204030BC7060203C00000AAA204030BCAAAA203C00000554204030BC5555203C00000AAA204030BCA0A0202F0008204030AF0006422F001B42AF001660344EB900FF8BDC4AAF0030660A202F0008204030106004302F00063F400004302F0006B06F000466081F7C0001001B600E52AF00160CAF00000FFF00166FC24A2F001B66321F7CFFAA00154AAF00306620202F0008204030BCF0F0202F0008204030BCF0F0203C00FFFA4E204030BC1060102F0015603A52AF001C202F0024E288B0AF001C6200FF104AAF003066202EAF00282017204030BCF0F02017204030BCF0F0203C00FFFA4E204030BC106042004FEF00204E75BFA9
[05:55:54:018]  RX: 6D F0 10 76 00 73
[05:55:54:022]  Found response, Success
[05:55:54:024]  Kernel upload 9% complete.
[05:55:54:031]  Sending block with offset 0x001800, start address 0xFF9800, length 0x0400.
[05:55:54:110]  TX: STPX H:6D10F0, R:1, L:1033
[05:55:54:168]  TX: 36000400FF9800E58A2042D0882400E58A2042D0882401948020027201B28066064EB900FF8BDC202F001A242F0010D4802F42000A222F000A700AD0AF001A103009B000FF9ED62041108052AF001A202F001AB0AF001465904280102F00192F004EBAFD0C588F0C2FFF80001966102F6F00100006202F000620404E90605E605C0C2F0044001957C0440010000280000000FF2F00487900FF9EE02F2F00182F2F00204EB900FF872E508F508F1F4000054A2F000566104280102F00192F004EBAFCAE588F6016102F000510000280000000FF2F0042A74EBAFCE4508F241F4FEF00204E750000598F202F00081F400002203C00FFFA48204030BC0007203C00FFFA4A204030BC6820203C00FFFA4C204030BC00074A2F00026726203C00FFFA4E204030BC7060203CFFFFE2FA223CFFFFE2FA2041321000410001204030816024203C00FFFA4E204030BC1060203CFFFFE2FA223CFFFFE2FA204132100241FFFE20403081487800504EB900FF8C74588F588F4E75598F203C00FFFA4C204030BC0007203C00FFFA4A204030BC6820203C00FFFA4E204030BC70604280204030BC9090428020402E904280204030BCFFFF203C00FFFA4E204030BC10602017588F4E75518F598F426F000A487800014EBAFF16588F2F6F00100002202F0002204030BC5050202F0002204030BC2020202F0002204030BCD0D0202F0002204030BC707042AF000660264EB900FF8BDC202F000220403F50000A4280302F000A727F4601C0814A806702600E52AF00060CAF0063FFFF00066FD0026F00E8000A202F0002204030BCFFFF202F0002204030BCFFFF42A74EBAFE90588F0C6F0080000A6604426F000A302F000A1000508F588F4E754FEFFFE0422F001F4AAF0030660A487800014EBAFE60588F2F6F002C000E2F6F0028000A42AF0018600000D8202F0018D080222F000AD2802F410006202F0018D080D0AF000E20403F5000044AAF00306628202F0006204030BC5050202F0006204030BC4040202F0006204030AF0004202F0006204030BC7070422F001742AF0012603A4AAF003067083F7C0080001C600A202F000620403F50001C4EB900FF8BDC4280302F001C727F4601C0814A8067081F7C00010017600E52AF00120CAF00000FFF00126FBC4A2F00176630302F001C1F40001F4AAF0030661C202F0006204030BCFFFF202F0006204030BCFFFF42A74EBAFD80588F102F001F605452AF0018202F0024E288B0AF00186200FF1E4AAF0030661C2EAF00282017204030BCFFFF2017204030BCFFFF42A74EBAFD46588F4280302F001C72674601C0810C80000000806708302F001C1F40001F102F001F4FEF00204E75518F2F02203C00FFFA4C204030BC0007203C00FFFA4A204030BC6820203C00FFFA4E204030BC7060203C00000AAA204030BCAAAA203C0000055420403DA4
[05:55:55:088]  RX: 6D F0 10 76 00 73
[05:55:55:093]  Found response, Success
[05:55:55:095]  Kernel upload 22% complete.
[05:55:55:114]  Sending block with offset 0x001400, start address 0xFF9400, length 0x0400.
[05:55:55:171]  TX: STPX H:6D10F0, R:1, L:1033
[05:55:55:200]  TX: 36000400FF940013C000FF9EDB202F0004100013C000FF9EDC201742404840100013C000FF9EDD2017E088100013C000FF9EDE2017100013C000FF9EDF4EB900FF8C64487800014878000A487900FF9ED64EB900FF8D8C508F588F202F00043000300002800000FFFF22174878000C2F002F014EB900FF8D8C508F588F508F4E75518F103900FF9EDB10000280000000FF2200E189103900FF9EDC10000280000000FFD0812F400004103900FF9EDD10000280000000FF220048414241103900FF9EDE10000280000000FFE188D280103900FF9EDF10000280000000FFD0812E800CAF000010000004634213FC006C00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC007F00FF9ED913FC003400FF9EDA4878000548780005487900FF9ED64EB900FF8D8C508F588F603E13FC006C00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC007400FF9ED9423900FF9EDA4878000548780005487900FF9ED64EB900FF8D8C508F588F508F4E75598F202F00081F40000213FC006D00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC007600FF9ED913EF000200FF9EDA4878000548780005487900FF9ED64EB900FF8D8C508F588F588F4E75598F222F0008202F000C1F4100021E8013FC006D00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC007F00FF9ED913FC003600FF9EDA13EF000200FF9EDB13D700FF9EDC4878000548780007487900FF9ED64EB900FF8D8C508F588F588F4E754FEFFFE02F021F7900FF9EDA0019103900FF9EDB10000280000000FF2200E189103900FF9EDC10000280000000FFD0812F400014103900FF9EDD10000280000000FF220048414241103900FF9EDE10000280000000FFE188D280103900FF9EDF10000280000000FFD0812F400010426F002270042F40001E6030202F001E0280000003FF4A8066064EB900FF8BDC202F001E068000FF9ED6204010101000024000FFD16F002252AF001E700AD0AF0014B0AF001E62C4700AD0AF0014103009B000FF9ED610000280000000FFE1883200700BD0AF0014103009B000FF9ED61000024000FF80413F40000E302F000EB06F00226700009413FC006D00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC007F00FF9ED913FC003600FF9EDA302F0022E048100013C000FF9EDB302F0022100013C000FF9EDC302F000EE048100013C000FF9EDD302F000E100013C000FF9EDE202F0014E088100013C000FF9EDF202F0014100013C000FF9EE0487800054878000B487900FF9ED64EB900FF8D8C508F588F600001387001C0AF00104A80671042A7487800BB4EBAFE04508F6000011E0CAF00FF7FFF0010630000B6202F0010D0AF00140C8000FFCDFF620000A442AF000A42AF001A6066222F001A24014C3C2C0051EB851FE8802401D482958220429088D08024007F99
[05:55:56:102]  RX: 6D F0 10 76 00 73
[05:55:56:103]  Found response, Success
[05:55:56:104]  Kernel upload 35% complete.
[05:55:56:112]  Sending block with offset 0x001000, start address 0xFF9000, length 0x0400.
[05:55:56:112]  Sending 'test device present' notification.
[05:55:56:114]  Setting timeout for Minimum, 0 ms.
[05:55:56:115]  TX: STPTO 0
[05:55:56:122]  OK
[05:55:56:122]  TX: STPX H:8CFEF0, R:0, D:3F
[05:55:56:135]  Empty response to STPX with data. OK.
[05:55:56:136]  Setting timeout for SendKernel, 50 ms.
[05:55:56:136]  TX: STPTO 50
[05:55:56:145]  OK
[05:55:56:212]  TX: STPX H:6D10F0, R:1, L:1033
[05:55:56:242]  TX: 36000400FF90000008606E203C00FFF60F20401210202F001020401081203C00FFF60C204010BC00024AAF000466026048202F00102040101010000280000000FF7230C0814A80670E202F0014204010BC000242806026202F0014204010BC0001202F000460164E71202F0014204010BC000B428060064E716000FEDA508F588F4E75598F202F000C53802E80602A2017D0AF00102217D2AF000820411210118109B000FF9ED620170280000001FF4A8066044EBAFB2E53974A976CD2588F4E754EBAFB9813FC006C00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC006000FF9ED9202F00047218E2A8100013C000FF9EDA202F0004028000FF000042404840100013C000FF9EDB202F000402800000FF00E088100013C000FF9EDC202F0004100013C000FF9EDD4878000548780008487900FF9ED64EBAFC58508F588F4EBAFB1860FE518F518F2F02226F0018206F001C222F0020202F002434091F42000A34081F4200081F4100061F4000041F7CFF8C000C1F7CFFFE000D1F7CFFF0000E1F7C003F000F1F6F000A00101F6F000800111F6F000600121F6F0004001348780005487800087014D08F2F004EBAFBE2508F588F241F508F508F4E752F02202F0008100010000280000000FF2240202F000802800000FF00E088100010000280000000FF2040202F0008028000FF000042404840100042811200202F00087418E4A8100010000280000000FF2F092F082F012F004EBAFF2E508F508F241F4E75518F426F000670042F400002601C202F0002068000FF9ED6204010101000024000FFD16F000652AF00027009B0AF00026CDC302F0006508F4E75518F2F024EBAF980426F000A42AF00066056202F0006D0AF001020401F5000054240102F0005D16F000A222F000624014C3C2C0051EB851FEA802401D482958220429088E5882400E58A2042D0882400E58A2042D0882401948020024A8066044EBAF92452AF0006202F0006B0AF001465A04EBAF912302F000A241F508F4E75598F202F000C3F400002700AD0AF0008322F0002E0491201118109B000FF9ED6700BD0AF0008322F00021201118109B000FF9ED6588F4E7513FC006C00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC007D00FF9ED9423900FF9EDA13FC000100FF9EDB13FC000300FF9EDC13FC000500FF9EDD13FC000100FF9EDE4EBAF90E4878000548780009487900FF9ED64EBAFA24508F588F4E75518F103900FF9EDB10000280000000FF2200E189103900FF9EDC10000280000000FFD0812F400004103900FF9EDD10000280000000FF220048414241103900FF9EDE10000280000000FFE188D280103900FF9EDF10000280000000FFD0812E8013FC006D00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC003600FF9ED913FC000100FF9EDA202F0004E088100048AC
[05:55:57:181]  RX: 6D F0 10 76 00 73
[05:55:57:182]  Found response, Success
[05:55:57:183]  Kernel upload 48% complete.
[05:55:57:190]  Sending block with offset 0x000C00, start address 0xFF8C00, length 0x0400.
[05:55:57:252]  TX: STPX H:6D10F0, R:1, L:1033
[05:55:57:310]  TX: 36000400FF8C00204112100A01FF80204010814E754E714E714E714E714E75518F42AF00046026429760124E714E714E714E714E714E714E714E7152972017B0AF00106DE64EBAFF9C52AF0004202F0004B0AF000C6DD0508F4E7548780005487827104EBAFFBA508F4E7548780032487800014EBAFFAA508F4E75202F0004487800FA2F004EBAFF98508F4E75598F2F0242AF0004604C226F000422094C3C1C0010624DD3EA802209D281938124009481220220412008E58820402008EB889088D081E588220992804A8166044EBAFF14202F0004068000FF9ED62040421052AF00040CAF0000101300046FAA241F588F4E75598F4297600E2017068000FFAEEA2040421052977063B0976CEC588F4E75518F202F000C1E80203C00FFF60E204010101200020100031F410007422F0006603A102F0006120052011F41000642AF000260084EBAFECE52AF00027031B0AF00026CF04EBAFE8C203C00FFF60E204010101200020100031F4100070C2F0002000767080C2F0003000766080C2FFFF9000663AE203C00FFF60D20401097508F4E754FEFFFEC202F001C3F4000024EBAFE427001C0AF00204A80670C203C00FFF60C204010BC00147004C0AF00204A806708302F000253406004302F00023F4000044EBA044E3F400010426F000E60424280302F000ED0AF0018204010101000024000FFD16F00104280302F000ED0AF00182040101010000280000000FF2F004EBAFEFE588F302F000E320052413F41000E302F0004B06F000E62B47008C0AF00204A8067584280302F000ED0AF0018204010101000024000FFD16F00104280302F000ED0AF00182040101010000280000000FF2F004EBAFEA8588F302F0010E048100010000280000000FF2F004EBAFE90588F302F00101F40001260104280302F000ED0AF001820401F5000127004C0AF00204A8067000094203C00FFF60C204010BC000C203C00FFF60D204010AF00124EBAFD50203C00FFF60C204010BC0003203C00FFF60D20404210203C00FFF60E204010101200020100031F41001342AF000A603652AF000A42AF0006600C4EBAFCE04EBAFD0E52AF00067063B0AF00066CEC4EBAFCCC203C00FFF60E204010101200020100031F4100134A2F0013670A0CAF000001F3000A6FBA4FEF00144E75518F598F4EBAFC9A42AF000842AF000460024E714EBAFC8A52AF00080CAF00030000000863064280600001100CAF0000101400046F12202F0014204010BCFFEE202F0004600000F4203C00FFF60E20401010EA081F4000034280102F00037207B28065AE303B0A064EFB000200C80010001000B80010005C005C005C202F0004220052812F410004223C00FFF60F20411210118109B000FF9ED6203C00FFF60E20401010EA081F4000030C2F0001000367CA0C2F0002000367C20C2F0004000367BA42AF27E0
[05:55:58:287]  RX: 6D F0 10 76 00 73
[05:55:58:289]  Found response, Success
[05:55:58:290]  Kernel upload 61% complete.
[05:55:58:299]  Sending block with offset 0x000800, start address 0xFF8800, length 0x0400.
[05:55:58:300]  Sending 'test device present' notification.
[05:55:58:300]  Setting timeout for Minimum, 0 ms.
[05:55:58:302]  TX: STPTO 0
[05:55:58:310]  OK
[05:55:58:311]  TX: STPX H:8CFEF0, R:0, D:3F
[05:55:58:324]  Empty response to STPX with data. OK.
[05:55:58:325]  Setting timeout for SendKernel, 50 ms.
[05:55:58:325]  TX: STPTO 50
[05:55:58:332]  OK
[05:55:58:403]  TX: STPX H:6D10F0, R:1, L:1033
[05:55:58:481]  TX: 36000400FF8800014E014E014E014E014E014E014E014E014E014E014E014E005E006E00780092014E014E014E014E014E00B8014E018E4EB900FF8C54202F00040080CC0000002F004EB900FF90BA588F600001344EB900FF947A4EB900FF8CEC600001244EB900FF93706000011A103900FF9ED60C00006D660A4EB900FF96186000010460000100103900FF9ED910000280000000FF42A742A72F00487800B24EB900FF9140508F508F600000DA103900FF9EDA10000280000000FF7203B28067427203B2806D127201B280672A7201B2806D2A4A80671860427205B280672A7205B2806E5A0C80000000FF6728602C4EB900FF930E604A4EBAF92460444EBAF9EA603E4EBAFBF060384EBAFC724EB900FF8A12602C4EBAFDA06026103900FF9EDA10000280000000FF42A742A72F004878003D4EB900FF9140508F508F60024E716042103900FF9EDA10000280000000FF2040103900FF9ED942811200103900FF9ED810000280000000FF2F082F012F00487800AA4EB900FF9140508F508F4E7160024E714E750000518F598F42B900FFB35242B900FFB35642B900FFB35A42B900FFB35E42AF0004605C4EB900FF8BDC202F00047218E3A82F4000081F7C00080003602A202F00084A806C14202F0008D08022000A8104C11DB72F410008600A202F0008D0802F400008532F00034A2F000366D0202F000421AF00080DB000FFAF5252AF00040CAF000000FF00046F9A508F588F4E7542B900FFB35242B900FFB35642B900FFB35A42B900FFB35E4E75518F598F2F0242AF000C42AF00086052202F001872004601C0814A8066064EB900FF8BDC202F0008D0AF001420401210202F000C7418E4A810001401B1021F4200074280102F000722300DB000FFAF52202F000CE1882401B1822F42000C52AF0008206F0008B1EF00186DA4202F000C241F508F588F4E75203900FFB352B0AF0004670442806012203900FFB356B0AF000867044280600270014E752F2F00082F2F00084EBAFFD2508F4A80660442806012203900FFB35AB0AF000866047001600242804E7523EF000400FFB35223EF000800FFB35642B900FFB35A42B900FFB35E4E75203900FFB35E4E75518F598F2F02203900FFB3564A806604600000AA2F7900FFB356000C2F7C000020000008203900FFB35AD0AF0008B0AF000C6C12203900FFB35A2200D2AF00082F41000C606A6068203900FFB35A74004602C0824A8066064EB900FF8BDC223900FFB352203900FFB35AD08120401210203900FFB35E7418E4A810001401B1021F4200074280102F000722300DB000FFAF52203900FFB35EE188B38023C000FFB35E203900FFB35A528023C000FFB35A203900FFB35AB0AF000C6D8C241F508F588F4E75203C00FFFA27204010BC0055203C00FFFA27204010BCFFAA203C00FFD006223C00FFD0065962
[05:55:59:390]  RX: 6D F0 10 76 00 73
[05:55:59:392]  Found response, Success
[05:55:59:394]  Kernel upload 74% complete.
[05:55:59:404]  Sending block with offset 0x000400, start address 0xFF8400, length 0x0400.
[05:55:59:455]  TX: STPX H:6D10F0, R:1, L:1033
[05:55:59:486]  TX: 36000400FF8400203900FFB356E080100013C000FF9EDC203900FFB356100013C000FF9EDD203900FFB35242404840100013C000FF9EDE203900FFB352E088100013C000FF9EDF203900FFB352100013C000FF9EE0202F00027218E2A8100013C000FF9EE1202F000242404840100013C000FF9EE2202F0002E088100013C000FF9EE3202F0002100013C000FF9EE4487800054878000F487900FF9ED64EB900FF8D8C508F588F604813FC006C00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC007D00FF9ED950F900FF9EDA102F001713C000FF9EDB4878000548780006487900FF9ED64EB900FF8D8C508F588F4FEF00184E75598F4EB900FF8C642EBC0000050413FC006C00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC007D00FF9ED913FC000300FF9EDA20172040101013C000FF9EDB201720401028000113C000FF9EDC201720401028000213C000FF9EDD201720401028000313C000FF9EDE4878000548780009487900FF9ED64EB900FF8D8C508F588F588F4E75518F103900FF9EDB10000280000000FF220048414241103900FF9EDC10000280000000FFE188D280103900FF9EDD10000280000000FFD0812F400002422F0007203900FF9ED20C8000012281673C0C800001228162120C8000012203672C0C8000012258672460340C800089447167080C800089889D66242F2F00024EB900FF99BC588F1F40000760362F2F00024EB900FF9C58588F1F4000076024487800024EB900FF8C74588F487800FF487800FF4878000542A74EBAFB30508F508F6026487800024EB900FF8C74588F4280102F000742A72F0048780005487800014EBAFB08508F508F508F4E7513FC006C00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC007F00FF9ED913FC003D00FF9EDA13FC000600FF9EDB423900FF9EDC4878000548780007487900FF9ED64EB900FF8D8C508F588F4E75598F2EBC1234567813FC006C00FF9ED613FCFFF000FF9ED713FC001000FF9ED813FC007D00FF9ED950F900FF9EDA20177218E2A8100013C000FF9EDB201742404840100013C000FF9EDC2017E088100013C000FF9EDD2017100013C000FF9EDE4878000548780009487900FF9ED64EB900FF8D8C508F588F588F4E75203900FF9ED20C800001228167460C800001228162120C800001220367360C8000012258672E60480C800089447167080C800089889D66382F2F00102F2F00102F2F00102F2F00104EB900FF9A6C508F508F601E2F2F00102F2F00102F2F00102F2F00104EB900FF9D96508F508F600270EE4E75103900FF9ED70C0000106710103900FF9ED70C00FFFE6704600001C4103900FF9ED80C00FFF06704600001B4103900FF9ED910000280000000FF72E0D081721FB28065000158303B0A064EFB00020040014E014E014E014E014E014E014E7A46
[05:56:00:428]  RX: 6D F0 10 76 00 73
[05:56:00:431]  Found response, Success
[05:56:00:433]  Kernel upload 87% complete.
[05:56:00:452]  Sending block with offset 0x000000, start address 0xFF8000, length 0x0400.
[05:56:00:454]  Sending 'test device present' notification.
[05:56:00:455]  Setting timeout for Minimum, 0 ms.
[05:56:00:457]  TX: STPTO 0
[05:56:00:482]  OK
[05:56:00:482]  TX: STPX H:8CFEF0, R:0, D:3F
